ID ,SI Ratio,Treatment,sex,Social_Investigation,Social_Avoidance
1,0.343088,SUS,F,132,3
2,0.652939,SUS,F,92,7
3,0.513881,SUS,F,85,5
4,0.396531,SUS,F,65,3
5,0.604908,SUS,F,120,4
6,0.577137,SUS,F,100,3
7,0.758798,SUS,F,87,3
8,0.314546,SUS,F,63,7
9,0.584052,SUS,F,55,4
10,0.790807,SUS,F,79,3
11,0.275931,SUS,F,58,5
12,0.539339,SUS,F,45,8
13,1.161996,RES,F,112,0
14,1.204014,RES,F,101,3
15,1.684293,RES,F,132,2
16,1.12926,RES,F,138,1
17,1.180766,RES,F,123,3
18,1.904827,RES,F,79,4
19,1.497402,RES,F,88,1
20,1.158825,RES,F,181,1
21,1.338216,RES,F,86,1
22,1.103769,RES,F,139,3
23,1.354801,RES,F,144,2
24,1.088916,RES,F,97,2
25,1.166753,Ctrl,F,140,0
26,1.201068,Ctrl,F,129,0
27,0.993109,Ctrl,F,97,1
28,0.923169,Ctrl,F,101,0
29,1.240715,Ctrl,F,109,0
30,1.184378,Ctrl,F,115,0
31,1.053528,Ctrl,F,99,0
32,1.269833,Ctrl,F,92,0
33,1.274623,Ctrl,F,100,0
34,1.283223,Ctrl,F,108,0
35,0.2926951,SUS,M,35,17
36,0.7532086,SUS,M,42,31
37,0.5811702,SUS,M,120,12
38,0.2747802,SUS,M,110,4
39,0.6802768,SUS,M,87,29
40,0.8791947,SUS,M,30,25
41,0.5096489,SUS,M,180,5
42,0.06567154,SUS,M,45,35
43,0.2963337,SUS,M,112,8
44,0.6848285,SUS,M,100,15
45,0.8504094,SUS,M,55,8
46,0.5768573,SUS,M,106,24
47,0.7849304,SUS,M,65,7
48,0.4262305,SUS,M,70,10
49,0.6973011,SUS,M,58,7
50,0.7213611,SUS,M,120,7
51,0.8772462,SUS,M,140,4
52,0.7229352,SUS,M,46,15
53,0.5840085,SUS,M,65,11
54,0.5271714,SUS,M,102,3
55,0.6793963,SUS,M,61,7
56,0.1079357,SUS,M,97,6
57,0.2084016,SUS,M,55,10
58,0.2581561,SUS,M,54,21
59,0.6716527,SUS,M,118,2
60,0.6631973,SUS,M,111,9
61,1.38627,RES,M,92,12
62,1.075655,RES,M,123,2
63,1.157932,RES,M,188,1
64,2.130985,RES,M,167,1
65,2.014351,RES,M,191,12
66,3.002213,RES,M,118,2
67,1.425365,RES,M,138,0
68,1.283399,RES,M,134,0
69,1.044066,RES,M,215,3
70,1.595984,RES,M,110,0
71,1.618206,RES,M,101,1
72,2.035253,RES,M,160,0
73,1.179562,RES,M,195,0
74,0.8788024,Ctrl,M,99,0
75,1.64137,Ctrl,M,166,0
76,3.276587,Ctrl,M,133,0
77,1.133207,Ctrl,M,189,0
78,1.020873,Ctrl,M,112,0
79,1.179864,Ctrl,M,113,0
80,0.8179981,Ctrl,M,179,0
81,1.007519,Ctrl,M,109,0
82,0.7487097,Ctrl,M,99,1
83,1.014798,Ctrl,M,110,0
